"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA金沢","2024/04/08","212","2","---","時計","ROLEX","YG/SS","AT","","179173NMR ﾗﾝﾀﾞﾑ番 ｼｪﾙ/D/R 日ﾛﾚ(2012.11)","","0","","落札","1500000"
"JBA金沢","2024/04/08","212","3","---","時計","ROLEX","PG/SS","AT","","279171G ﾗﾝﾀﾞﾑ番 ﾁｮｺ ｽﾀｰD 保(2022.2)","","0","","落札","1850000"
"JBA金沢","2024/04/08","212","5","---","時計","ROLEX","WG/SS","AT","","178274G ﾗﾝﾀﾞﾑ番 ﾎﾘｺﾝ ｼﾙﾊﾞｰ 日ﾛﾚ(2019.2)","","0","","落札","1150000"
"JBA金沢","2024/04/08","212","6","---","時計","ROLEX","WG","AT","","128239 ﾗﾝﾀﾞﾑ番 ﾋﾟﾝｸｵﾊﾟｰﾙ/D 保(2024.3) 別展","","0","","落札","5650000"
"JBA金沢","2024/04/08","212","7","---","時計","ROLEX","WG","AT","","126619LB ﾗﾝﾀﾞﾑ番 保(2023.10) 別展","","0","","落札","4600000"
"JBA金沢","2024/04/08","212","8","---","時計","ROLEX","SS","AT","","116520 ﾗﾝﾀﾞﾑ番 黒 日ﾛﾚ(2016.4) 別展","","0","","落札","3000000"
"JBA金沢","2024/04/08","212","9","---","時計","ROLEX","SS","AT","","116500LN ﾗﾝﾀﾞﾑ番 黒 保(2021.12) 別展","","0","","落札","3490000"
"JBA金沢","2024/04/08","212","10","---","時計","ROLEX","WG","AT","","116509 ﾗﾝﾀﾞﾑ番 ﾒﾃｵﾗｲﾄ ﾛｰﾏ 日ﾛﾚ(2013.7) 別展","","0","","落札","6000000"
"JBA金沢","2024/04/08","213","1","---","時計","ROLEX","SS","AT","","116500LN ﾗﾝﾀﾞﾑ番 白 保(2020.10) 別展","","0","","落札","4000000"
"JBA金沢","2024/04/08","213","2","---","時計","ROLEX","SS","AT","","116500LN ﾗﾝﾀﾞﾑ番 白 保(2020.8) 別展","","0","","落札","3990000"
"JBA金沢","2024/04/08","213","3","---","時計","ROLEX","YG","AT","","116618 V番 青 別展","","0","","落札","3920000"
"JBA金沢","2024/04/08","213","4","---","時計","ROLEX","WG","AT","","116509 G番 ｼﾙﾊﾞｰ 日ﾛﾚ(2013.8) 別展","","0","","落札","3920000"
"JBA金沢","2024/04/08","213","5","---","時計","ROLEX","WG","AT","","116509NGR ﾗﾝﾀﾞﾑ番 黒 日ﾛﾚ(2018.7) 別展","","0","","落札","5450000"
"JBA金沢","2024/04/08","213","6","---","時計","ROLEX","","AT","","126715CHNR ﾗﾝﾀﾞﾑ番 黒 保(2022.4) 別展","","0","","落札","5200000"
"JBA金沢","2024/04/08","213","7","---","時計","ROLEX","SS","AT","","116500LN ﾗﾝﾀﾞﾑ番 黒/黒 箱 保(2017.4) 別展","","0","","落札","3300000"
"JBA金沢","2024/04/08","213","8","---","時計","ROLEX","PG/ﾗﾊﾞｰ","AT","","116515LN ﾗﾝﾀﾞﾑ番 ﾋﾟﾝｸ/黒 箱 日ﾛﾚ(2017.11) 別展","","0","","落札","4810000"
